name,date,time,venue,minPrice,maxPrice,home,away
Washington Wizards vs. Los Angeles Lakers,2024-04-03,19:00:00,Capital One Arena,96.0,888.0,Washington Wizards,Los Angeles Lakers
"Wizards vs Celtics (DMV Bobblehead: Pusha T - First 10,000 Fans)",2024-03-17,18:00:00,Capital One Arena,49.0,888.0,Washington Wizards,Boston Celtics
"Wizards vs Bucks (Reusable Water Bottle - First 5,000 Fans)",2024-04-02,19:00:00,Capital One Arena,27.0,888.0,Washington Wizards,Milwaukee Bucks
"Wizards vs Raptors (Gym Bag - First 5,000 Fans)",2024-03-23,20:00:00,Capital One Arena,16.0,888.0,Washington Wizards,Toronto Raptors
Washington Wizards vs. Miami Heat,2024-03-31,18:00:00,Capital One Arena,24.0,888.0,Washington Wizards,Miami Heat
Washington Wizards vs. Portland Trail Blazers,2024-04-05,19:00:00,Capital One Arena,20.0,888.0,Washington Wizards,Portland Trail Blazers
Washington Wizards vs. Sacramento Kings,2024-03-21,19:00:00,Capital One Arena,16.0,888.0,Washington Wizards,Sacramento Kings
Washington Wizards vs. Brooklyn Nets,2024-03-27,19:00:00,Capital One Arena,16.0,888.0,Washington Wizards,Brooklyn Nets
Wizards vs Bulls (City Edition T-Shirt - All Fans),2024-04-12,19:00:00,Capital One Arena,26.0,888.0,Washington Wizards,Chicago Bulls
Washington Wizards vs. Detroit Pistons,2024-03-29,19:00:00,Capital One Arena,16.0,888.0,Washington Wizards,Detroit Pistons
Washington Wizards vs. Houston Rockets,2024-03-19,19:00:00,Capital One Arena,16.0,888.0,Washington Wizards,Houston Rockets
