name,date,time,venue,minPrice,maxPrice,home,away
LA Clippers vs. Atlanta Hawks,2024-03-17,18:30:00,Crypto.com Arena,,,Los Angeles Clippers,Atlanta Hawks
Los Angeles Lakers vs Golden State Warriors,2024-03-16,17:30:00,Crypto.com Arena,125.0,7350.0,Los Angeles Lakers,Golden State Warriors
Los Angeles Lakers vs Golden State Warriors,2024-04-09,19:00:00,Crypto.com Arena,125.0,7350.0,Los Angeles Lakers,Golden State Warriors
Los Angeles Lakers vs Atlanta Hawks,2024-03-18,19:30:00,Crypto.com Arena,72.0,5200.0,Los Angeles Lakers,Atlanta Hawks
Los Angeles Lakers vs Indiana Pacers,2024-03-24,19:00:00,Crypto.com Arena,59.0,5100.0,Los Angeles Lakers,Indiana Pacers
Los Angeles Lakers vs Philadelphia 76ers,2024-03-22,19:30:00,Crypto.com Arena,98.0,5700.0,Los Angeles Lakers,Philadelphia 76ers
Los Angeles Lakers vs Minnesota Timberwolves,2024-04-07,19:00:00,Crypto.com Arena,59.0,5100.0,Los Angeles Lakers,Minnesota Timberwolves
LA Clippers vs. Philadelphia 76ers,2024-03-24,12:30:00,Crypto.com Arena,,,Los Angeles Clippers,Philadelphia 76ers
LA Clippers vs. Phoenix Suns,2024-04-10,19:30:00,Crypto.com Arena,,,Los Angeles Clippers,Phoenix Suns
Los Angeles Lakers vs Cleveland Cavaliers,2024-04-06,12:30:00,Crypto.com Arena,72.0,5200.0,Los Angeles Lakers,Cleveland Cavaliers
LA Clippers vs. Indiana Pacers,2024-03-25,19:30:00,Crypto.com Arena,,,Los Angeles Clippers,Indiana Pacers
LA Clippers vs. Houston Rockets,2024-04-14,12:30:00,Crypto.com Arena,,,Los Angeles Clippers,Houston Rockets
LA Clippers vs. Cleveland Cavaliers,2024-04-07,12:30:00,Crypto.com Arena,,,Los Angeles Clippers,Cleveland Cavaliers
LA Clippers vs. Utah Jazz,2024-04-05,19:30:00,Crypto.com Arena,,,Los Angeles Clippers,Utah Jazz
LA Clippers vs. Utah Jazz,2024-04-12,19:30:00,Crypto.com Arena,,,Los Angeles Clippers,Utah Jazz
LA Clippers vs. Denver Nuggets,2024-04-04,19:00:00,Crypto.com Arena,,,Los Angeles Clippers,Denver Nuggets
