name,date,time,venue,minPrice,maxPrice,home,away
Milwaukee Bucks vs. Phoenix Suns,2024-03-17,12:00:00,Fiserv Forum,70.0,3930.0,Milwaukee Bucks,Phoenix Suns
Milwaukee Bucks vs Phoenix Suns (Premium Spaces),2024-03-17,12:00:00,Fiserv Forum,,,Milwaukee Bucks,Phoenix Suns
Milwaukee Bucks vs. Los Angeles Lakers,2024-03-26,18:30:00,Fiserv Forum,90.0,3940.0,Milwaukee Bucks,Los Angeles Lakers
Milwaukee Bucks vs. Toronto Raptors,2024-04-05,19:00:00,Fiserv Forum,26.0,2631.0,Milwaukee Bucks,Toronto Raptors
Milwaukee Bucks vs LA Lakers (Premium Spaces),2024-03-26,18:30:00,Fiserv Forum,,,Milwaukee Bucks,Los Angeles Lakers
Milwaukee Bucks vs Toronto Raptors (Premium Spaces),2024-04-05,19:00:00,Fiserv Forum,,,Milwaukee Bucks,Toronto Raptors
Milwaukee Bucks vs. Boston Celtics,2024-04-09,18:30:00,Fiserv Forum,29.0,3280.0,Milwaukee Bucks,Boston Celtics
Milwaukee Bucks vs. New York Knicks,2024-04-07,18:00:00,Fiserv Forum,26.0,2631.0,Milwaukee Bucks,New York Knicks
Milwaukee Bucks vs New York Knicks (Premium Spaces),2024-04-07,18:00:00,Fiserv Forum,,,Milwaukee Bucks,New York Knicks
Milwaukee Bucks vs Boston Celtics (Premium Spaces),2024-04-09,18:30:00,Fiserv Forum,,,Milwaukee Bucks,Boston Celtics
Milwaukee Bucks vs. Oklahoma City Thunder,2024-03-24,18:00:00,Fiserv Forum,40.0,2631.0,Milwaukee Bucks,Oklahoma City Thunder
Milwaukee Bucks vs. Brooklyn Nets,2024-03-21,19:00:00,Fiserv Forum,25.0,2631.0,Milwaukee Bucks,Brooklyn Nets
Milwaukee Bucks vs. Memphis Grizzlies,2024-04-03,18:30:00,Fiserv Forum,26.0,2501.0,Milwaukee Bucks,Memphis Grizzlies
Milwaukee Bucks vs. Orlando Magic,2024-04-10,19:00:00,Fiserv Forum,26.0,2501.0,Milwaukee Bucks,Orlando Magic
Milwaukee Bucks vs Brookyln Nets (Premium Spaces),2024-03-21,19:00:00,Fiserv Forum,,,Milwaukee Bucks,Brooklyn Nets
Milwaukee Bucks vs Oklahoma City Thunder (Premium Spaces),2024-03-24,18:00:00,Fiserv Forum,,,Milwaukee Bucks,Oklahoma City Thunder
Milwaukee Bucks vs Memphis Grizzlies (Premium Spaces),2024-04-03,18:30:00,Fiserv Forum,,,Milwaukee Bucks,Memphis Grizzlies
Milwaukee Bucks vs Orlando Magic (Premium Spaces),2024-04-10,19:00:00,Fiserv Forum,,,Milwaukee Bucks,Orlando Magic
