name,date,time,venue,minPrice,maxPrice,home,away
Pistons v Miami Heat (20th Anniversary of 2004 NBA Championship),2024-03-17,15:00:00,Little Caesars Arena,26.0,2925.85,Detroit Pistons,Miami Heat
Detroit Pistons vs. Boston Celtics,2024-03-22,19:00:00,Little Caesars Arena,40.0,6595.85,Detroit Pistons,Boston Celtics
Detroit Pistons vs. New Orleans Pelicans,2024-03-24,15:00:00,Little Caesars Arena,27.0,2925.85,Detroit Pistons,New Orleans Pelicans
Detroit Pistons vs. Chicago Bulls,2024-04-11,19:00:00,Little Caesars Arena,25.0,3455.85,Detroit Pistons,Chicago Bulls
Detroit Pistons vs. Memphis Grizzlies,2024-04-01,19:00:00,Little Caesars Arena,24.0,3455.85,Detroit Pistons,Memphis Grizzlies
Detroit Pistons vs. Indiana Pacers,2024-03-20,19:00:00,Little Caesars Arena,20.0,1615.85,Detroit Pistons,Indiana Pacers
Detroit Pistons vs. Miami Heat (Suite),2024-03-17,15:00:00,Little Caesars Arena,,,Detroit Pistons,Miami Heat
Detroit Pistons vs. Indiana Pacers (Suite),2024-03-20,19:00:00,Little Caesars Arena,,,Detroit Pistons,Indiana Pacers
Detroit Pistons vs. Boston Celtics (Suite),2024-03-22,19:00:00,Little Caesars Arena,,,Detroit Pistons,Boston Celtics
Detroit Pistons vs. New Orleans Pelicans (Suite),2024-03-24,15:00:00,Little Caesars Arena,,,Detroit Pistons,New Orleans Pelicans
Detroit Pistons vs. Memphis Grizzlies (Suite),2024-04-01,19:00:00,Little Caesars Arena,,,Detroit Pistons,Memphis Grizzlies
Detroit Pistons vs. Chicago Bulls (Suite),2024-04-11,19:00:00,Little Caesars Arena,,,Detroit Pistons,Chicago Bulls
