Arena,Location,Home Team,id,longitude,latitude
American Airlines Center,"Dallas, Texas",Dallas Mavericks,KovZpZAJ67eA,-96.81081803,32.79067196
Ball Arena,"Denver, Colorado",Denver Nuggets,KovZpZAFaJeA,-105.010166,39.74724
Barclays Center,"Brooklyn, New York",Brooklyn Nets,KovZ917AtP3,-73.97519,40.68285
Capital One Arena,"Washington, D.C.",Washington Wizards,KovZpaKuJe,-77.020029,38.897412
Chase Center,"San Francisco, California",Golden State Warriors,KovZ917Ah1H,-122.387464,37.76797
Crypto.com Arena,"Los Angeles, California",Los Angeles Clippers,KovZpZAEdntA,-118.267253,34.043003
Crypto.com Arena,"Los Angeles, California",Los Angeles Lakers,KovZpZAEdntA,-118.267253,34.043003
Delta Center,"Salt Lake City, Utah",Utah Jazz,KovZpZAdEtkA,-111.901096,40.767798
FedExForum,"Memphis, Tennessee",Memphis Grizzlies,KovZpZAE6vlA,-90.0514933,35.1394709
Fiserv Forum,"Milwaukee, Wisconsin",Milwaukee Bucks,KovZ917A_fV,-87.916896,43.04228
Footprint Center,"Phoenix, Arizona",Phoenix Suns,KovZpZAE617A,-112.071313,33.445899
Frost Bank Center,"San Antonio, Texas",San Antonio Spurs,KovZpZAJJEdA,-98.4337987,29.4330386
Gainbridge Fieldhouse,"Indianapolis, Indiana",Indiana Pacers,KovZpZA6keIA,-86.155507,39.764064
Golden 1 Center,"Sacramento, California",Sacramento Kings,KovZpZAEF76A,-121.500231,38.580372
Kaseya Center,"Miami, Florida",Miami Heat,KovZpZAJtFaA,-80.187805,25.781232
Kia Center,"Orlando, Florida",Orlando Magic,KovZpZAEvEEA,-81.383957,28.539293
Little Caesars Arena,"Detroit, Michigan",Detroit Pistons,KovZ917A25V,-83.055434,42.341089
Madison Square Garden,"New York City, New York",New York Knicks,KovZpZA7AAEA,-73.9916006,40.7497062
Moda Center,"Portland, Oregon",Portland Trail Blazers,KovZpa6MXe,-122.66645813,45.53118896
Paycom Center,"Oklahoma City, Oklahoma",Oklahoma City Thunder,KovZpa2Wre,-97.514594,35.463391
Rocket Mortgage FieldHouse,"Cleveland, Ohio",Cleveland Cavaliers,KovZpZAF7dtA,-81.6894825,41.4967035
Scotiabank Arena,"Toronto, Ontario",Toronto Raptors,KovZpZAFFE1A,-79.3783234,43.6439254
Smoothie King Center,"New Orleans, Louisiana",New Orleans Pelicans,KovZpZAJAJAA,-90.079688,29.9489653
Spectrum Center,"Charlotte, North Carolina",Charlotte Hornets,KovZpZA6AEIA,-80.839921,35.225222
State Farm Arena,"Atlanta, Georgia",Atlanta Hawks,KovZpa2Xke,-84.394569,33.757796
Target Center,"Minneapolis, Minnesota",Minnesota Timberwolves,ZFr9jZe667,-93.274889,44.979657
TD Garden,"Boston, Massachusetts",Boston Celtics,KovZpa2gne,-71.060724,42.365841
Toyota Center,"Houston, Texas",Houston Rockets,KovZpZAJJIIA,-95.3623133,29.7520386
United Center,"Chicago, Illinois",Chicago Bulls,KovZpa2M7e,-87.67427375,41.88124412
Wells Fargo Center,"Philadelphia, Pennsylvania",Philadelphia 76ers,KovZ917AiMF,-75.1736273,39.904551
